route_id,trip_headsign,direction_id,day,start_time,end_time,load_date
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Thursday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Friday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Antapani - Terminal Leuwipanjang,0,Saturday,5:30:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Sunday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Monday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Tuesday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Wednesday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Thursday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Friday,6:00:00,18:00:00,2024-04-26
TMB K4,Terminal Leuwipanjang - Terminal Antapani,1,Saturday,6:00:00,18:00:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Sunday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Monday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Tuesday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Wednesday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Thursday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Friday,6:00:00,14:10:00,2024-04-26
TMB K5,Terminal Antapani - Stasiun Hall,0,Saturday,6:00:00,14:10:00,2024-04-26
TMB K5,Stasiun Hall - Terminal Antapani,1,Sunday,6:00:00,14:10:00,2024-04-26
TMB K5,Stasiun Hall - Terminal Antapani,1,Monday,6:00:00,14:10:00,2024-04-26
TMB K5,Stasiun Hall - Terminal Antapani,1,Tuesday,6:00:00,14:10:00,2024-04-26
