"stop_id","stop_name","stop_lat","stop_lon"
"bandung_lpkia_a","Lpkia A",-6.949422849852,107.624310000024
"bandung_pt_len_industri_a","Pt Len Industri A",-6.9489877,107.619152
"bandung_pln_up3_a","Pln Up3 Bandung A",-6.94851154956025,107.612097084676
"bandung_mohammad_toha","Mohammad Toha",-6.94417198569195,107.60843583106
"bandung_taman_tegalega","Taman Tegalega",-6.9372463,107.6036999
"bandung_sekolah_mohammad_toha","Sekolah Mohammad Toha",-6.93041,107.60669
"bandung_itc_kebon_kelapa","Itc Kebon Kelapa",-6.92754,107.60673
"bandung_grand_yogya_kepatihan","Grand Yogya Kepatihan",-6.92385,107.6036051
"bandung_banceuy","Banceuy",-6.9188699,107.6066134
"bandung_stasiun_timur","Stasiun Timur",-6.9153549,107.6044803
"bandung_stasiun_bandung","Stasiun Bandung",-6.9125954,107.6029303
"bandung_sman_6_bandung","Sman 6 Bandung",-6.9114176,107.5978589
"bandung_sdn_pajajaran","Sdn Pajajaran",-6.9067937,107.5999956
"bandung_sthb","Sthb",-6.9065179,107.6043586
"bandung_terminal_leuwipanjang","Terminal Leuwipanjang",-6.9458452,107.5932425
"bandung_rumah_sakit_imanuel_a","Rumah Sakit Imanuel A",-6.936414,107.5939306
"bandung_pintu_keluar_terminal_tegalega","Pintu Keluar Terminal Tegalega",-6.93383,107.5974891
"bandung_astana_anyar_rsia_kota_bandung","Astana Anyar Rsia Kota Bandung",-6.9293733,107.600639
"bandung_terminal_st_hall","Terminal St. Hall",-6.91605,107.5999651
"bandung_halte_smkn_1_bandung","Halte Smkn 1 Bandung",-6.913012,107.6089856
"bandung_riau_xl","Riau XL",-6.9067978,107.6096233
"bandung_hotel_the_one_o_one_a","Hotel the One-O-One A",-6.9110899,107.5996253
"bandung_taman_radio","Taman Radio",-6.9026735,107.6089351
"bandung_kartika_sari_a","Kartika Sari A",-6.8914958,107.6130412
"bandung_rumah_sakit_santo_borromeus_a","Rumah Sakit Santo Borromeus A",-6.8944726,107.6128839
"bandung_unikom","Unikom",-6.8868878,107.6151292
"bandung_unpad_dipatiukur","Unpad Dipatiukur",-6.8923042,107.6178302
"bandung_rumah_sakit_santo_borromeus_b","Rumah Sakit Santo Borromeus B",-6.8948767,107.613435
"bandung_kartika_sari_b","Kartika Sari B",-6.8975176,107.6129141
"bandung_seberang_taman_radio","Seberang Taman Radio",-6.9026735,107.6089351
"bandung_hotel_the_one_o_one_b","Hotel the One-O-One B",-6.9110899,107.5996253
"bandung_indah_plaza","Bandung Indah Plaza",-6.9097748,107.6109188
"bandung_bank_indonesia","Bank Indonesia",-6.9145193,107.6090686
"bandung_pasar_baru_bandung","Pasar Baru Bandung",-6.9164303,107.6044519
"bandung_jalan_dalem_kaum","Jalan Dalem Kaum",-6.92208,107.5992191
"bandung_ibu_inggit_garnasih","Ibu Inggit Garnasih",-6.9314493,107.6039255
"bandung_pasar_tegalega","Pasar Tegalega",-6.936505,107.6063649
"bandung_simpang_mohamad_toha","Simpang Mohamad Toha",-6.9375586,107.6055097
"bandung_rumah_sakit_imanuel_b","Rumah Sakit Imanuel B",-6.937395,107.5933501
"bandung_halte_unpad_dipatiukur","Halte Unpad Dipatiukur",-6.8923042,107.6178302
"bandung_panatayuda_a","Panatayuda A",-6.8979268,107.6162121
"bandung_lapangan_gasibu_a","Lapangan Gasibu A (Taman Lansia)",-6.901132,107.6199289
"bandung_pusdai_a","Pusdai A (Rri)",-6.9010136,107.6241889
"bandung_lapangan_supratman_a","Lapangan Supratman A (Smpn 14)",-6.9081075,107.630157
"bandung_taman_pramuka","Taman Pramuka",-6.9105798,107.6265967
"bandung_hotel_grand_tebu","Hotel Grand Tebu",-6.9130163,107.6288644
"bandung_creative_hub_a","Bandung Creative Hub A",-6.918349,107.6313724
"bandung_hotel_horison_a","Hotel Horison A",-6.9343466,107.6253125
"bandung_simpang_by_pass_soekarno_hatta_a","Simpang by Pass Soekarno Hatta A",-6.9473658,107.6091213
"bandung_spbu_moh_toha","Spbu Moh.Toha",-6.9546052,107.6115668
"bandung_terminal_cileunyi","Terminal Cileunyi",-6.94048,107.7511051
"bandung_ipdn_a","Ipdn A",-6.9356267,107.7652049
"bandung_pangkalan_damri_jatinangor","Pangkalan Damri Jatinangor",-6.9316585,107.7758563
"bandung_unpad_jatinagor","Unpad Jatinagor",-6.9325281,107.7765085
"bandung_jatinangor_town_square","Jatinangor Town Square",-6.9340124,107.7712456
"bandung_ipdn_b","Ipdn B",-6.9357687,107.7651656
"bandung_panyawungan","Panyawungan",-6.94048,107.7511051
"bandung_jl_h_tatang_sumantri","Jl. H. Tatang Sumantri",-6.9547463,107.6114644
"bandung_simpang_by_pass_soekarno_hatta_b","Simpang by Pass Soekarno Hatta B",-6.9483802,107.6087487
"bandung_halte_bkr_5_pamager_sari","Halte Bkr 5 Pamager Sari",-6.9374679,107.6067581
"bandung_hotel_horison_b","Hotel Horison B",-6.9342818,107.6251519
"bandung_creative_hub_b","Bandung Creative Hub B",-6.9184662,107.631219
"bandung_spbu_ahmad_yani","Spbu Ahmad Yani",-6.9129503,107.6339249
"bandung_lapangan_supratman_b","Lapangan Supratman B (Sd Ciujung)",-6.9072435,107.6296905
"bandung_pusdai_b","Pusdai B (Sma Alfa Centauri)",-6.9012082,107.6241716
