"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"shp_damri_6a_1",-6.91396999359131,107.575553894043,1
"shp_damri_6a_1",-6.93165969848633,107.775848388672,2
"shp_damri_6a_1",-6.94047975540161,107.751098632812,3
"shp_damri_6a_1",-6.92826986312866,107.700103759766,4
"shp_damri_6a_1",-6.94047975540161,107.751098632812,5
"shp_damri_6a_1",-6.93725967407227,107.683197021484,6
"shp_damri_6a_1",-6.92216968536377,107.644470214844,7
"shp_damri_6a_1",-6.94822978973389,107.632965087891,8
"shp_damri_6a_1",-6.91436004638672,107.632827758789,9
"shp_damri_6a_1",-6.93811988830566,107.615287780762,10
"shp_damri_6a_1",-6.95475006103516,107.611457824707,11
"shp_damri_6a_1",-6.94591999053955,107.593605041504,12
"shp_damri_6a_1",-6.94301986694336,107.584419250488,13
"shp_damri_6a_1",-6.92060995101929,107.580856323242,14
"shp_damri_6a_1",-6.92793989181519,107.574058532715,15
"shp_damri_6a_1",-6.94047975540161,107.751098632812,16
"shp_damri_6a_1",-6.93562984466553,107.765197753906,17
"shp_damri_6a_1",-6.93165969848633,107.775848388672,18
"shp_damri_6a_2",-6.93165969848633,107.775848388672,1
"shp_damri_6a_2",-6.93402004241943,107.771240234375,2
"shp_damri_6a_2",-6.93577003479004,107.765159606934,3
"shp_damri_6a_2",-6.94059991836548,107.747634887695,4
"shp_damri_6a_2",-6.94047975540161,107.751098632812,5
"shp_damri_6a_2",-6.95475006103516,107.611457824707,6
"shp_damri_6a_2",-6.92060995101929,107.580856323242,7
"shp_damri_6a_2",-6.94839000701904,107.608734130859,8
"shp_damri_6a_2",-6.95297002792358,107.60228729248,9
"shp_damri_6a_2",-6.91436004638672,107.632827758789,10
"shp_damri_6a_2",-6.94734001159668,107.594467163086,11
"shp_damri_6a_2",-6.92216968536377,107.644470214844,12
"shp_damri_6a_2",-6.94301986694336,107.584419250488,13
"shp_damri_6a_2",-6.9394998550415,107.580856323242,14
"shp_damri_6a_2",-6.93264961242676,107.573486328125,15
"shp_damri_6a_2",-6.93114995956421,107.57373046875,16
"shp_damri_6a_2",-6.92793989181519,107.574058532715,17
"shp_damri_6a_2",-6.91819000244141,107.574234008789,18
"shp_damri_6a_2",-6.91396999359131,107.575553894043,19
"shp_damri_8_1",-6.93165969848633,107.775848388672,1
"shp_damri_8_1",-6.94666004180908,107.712844848633,2
"shp_damri_8_1",-6.94942998886108,107.624305725098,3
"shp_damri_8_1",-6.94851970672607,107.612091064453,4
"shp_damri_8_1",-6.94418001174927,107.608428955078,5
"shp_damri_8_1",-6.92303991317749,107.603996276855,6
"shp_damri_8_1",-6.93040990829468,107.606689453125,7
"shp_damri_8_1",-6.92943000793457,107.61043548584,8
"shp_damri_8_1",-6.92385005950928,107.60359954834,9
"shp_damri_8_1",-6.92208003997803,107.59920501709,10
"shp_damri_8_1",-6.93207979202271,107.624977111816,11
"shp_damri_8_1",-6.90603971481323,107.585838317871,12
"shp_damri_8_1",-6.93435001373291,107.625305175781,13
"shp_damri_8_1",-6.92216968536377,107.644470214844,14
"shp_damri_8_1",-6.83280992507935,107.351638793945,15
"shp_damri_8_1",-6.94580984115601,107.633628845215,16
"shp_damri_8_1",-6.94758987426758,107.634704589844,17
"shp_damri_8_1",-6.94646978378296,107.641098022461,18
"shp_damri_8_1",-6.94284963607788,107.641593933105,19
"shp_damri_8_1",-6.9426097869873,107.648017883301,20
"shp_damri_8_1",-6.94010972976685,107.658187866211,21
"shp_damri_8_1",-6.93900966644287,107.663520812988,22
"shp_damri_8_1",-6.93709993362427,107.667007446289,23
"shp_damri_8_1",-6.93800973892212,107.677597045898,24
"shp_damri_8_1",-6.94361972808838,107.681564331055,25
"shp_damri_8_1",-6.93634986877441,107.697296142578,26
